file_name,number,case,state,notes
AVG_Reslice of nd277shorter.tif,277,Zen-4,BAD,
AVG_Reslice of nd279shorter.tif,279,Zen-4,BAD,
AVG_Reslice of nd283_crop new.tif,283,Nop-1,GOOD,
AVG_Reslice of nd284_crop new.tif,284,Nop-1,GOOD,
AVG_Reslice of nd285_crop2 new.tif,285,Nop-1,GOOD,
AVG_Reslice of nd286_crop2 new.tif,286,Nop-1,GOOD,
AVG_Reslice of nd293shorter.tif,293,Zen-4,BAD,
AVG_Reslice of nd295shorter.tif,295,Zen-4,BAD,
Reslice_of_298_crop.tif,298,Control,GOOD,
AVG_Reslice of 299 crop new.tif,299,Control,GOOD,
AVG_Reslice of 300 crop new2.tif,300,Control,GOOD,
AVG_Reslice of nd306 shorter.tif,306,Control (nmy-2),BAD,
AVG_Reslice of nd307 shorter.tif,307,unknown,BAD,
MAX_Reslice_of_nd324_crop.tif,324,Control,BAD,
AVG_Reslice of nd332 crop2.tif,332,Nop-1,GOOD,
AVG_Reslice of nd333 crop2.tif,333,Nop-1,GOOD,
Projected_Ringnd378_crop_16b.tif,378,Control,GOOD,
AVG_Reslice of nd379 crop new.tif,379,Control,GOOD,
AVG_Reslice of nd380 shorter new.tif,380,Control,BAD,
AVG_Reslice of nd381 shorter new.tif,381,Control,GOOD,
AVG_Reslice of Furrow_Detectionnd475 crop.nd2nd475 crop.tif,475,Control (nmy-2),GOOD,
AVG_Reslice of Furrow_Detectionnd476 crop.nd2nd476 crop.tif,476,Control (nmy-2),GOOD,
AVG_Reslice of Furrow_Detectionnd477 crop.nd2nd477 crop.tif,477,Control (nmy-2),GOOD,
AVG_Reslice of nd478 new.tif,478,Ani-1,GOOD,
AVG_Reslice of nd479 crop.tif,479,Ani-1,GOOD,
AVG_Reslice of nd480 crop.tif,480,Ani-1,BAD,
AVG_Reslice of nd481 crop new.tif,481,Ani-1,GOOD,
AVG_Reslice of nd482 crop.tif,482,Ani-1,GOOD,
AVG_Reslice of nd483 crop.tif,483,Ani-1,GOOD,
AVG_Reslice of nd485 crop new.tif,485,Ani-1,GOOD,
AVG_Reslice of nd487 crop.tif,487,Ani-1,GOOD,
AVG_Reslice of Furrow_Detectionnd488 crop.nd2nd488 crop.tif,488,unknown,GOOD,
AVG_Reslice of Furrow_Detectionnd489 crop.nd2nd489 crop.tif,489,Control (nmy-2),GOOD,
AVG_Reslice of nd491 crop new.tif,491,Ani-1,GOOD,
AVG_Reslice of nd506_crop.tif,506,unknown,GOOD,
AVG_Reslice of nd507_crop.tif,507,Nmy-2,GOOD,
AVG_Reslice of nd508_crop.tif,508,Nmy-2,BAD,
AVG_Reslice of nd509_crop.tif,509,Nmy-2,GOOD,
AVG_Reslice of nd510 crop.tif,510,Atn-1,GOOD,
AVG_Reslice of nd511 crop.tif,511,Atn-1,GOOD,
AVG_Reslice of nd512_crop.tif,512,Nmy-2,GOOD,
AVG_Reslice of nd513_crop.tif,513,Nmy-2,BAD,
AVG_Reslice of nd514_crop.tif,514,Nmy-2,BAD,
AVG_Reslice of nd515 crop.tif,515,Atn-1,GOOD,
AVG_Reslice of nd516 crop.tif,516,Atn-1,GOOD,
AVG_Reslice of nd517 crop.tif,517,Atn-1,GOOD,
AVG_Reslice of nd518_crop.tif,518,Atn-1,GOOD,
AVG_Reslice of nd519_crop.tif,519,Atn-1,GOOD,
AVG_Reslice of nd520_crop.tif,520,Atn-1,GOOD,
AVG_Reslice of nd576_crop.tif,576,Cap-1,GOOD,
AVG_Reslice of nd579 crop.tif,579,Cap-2,GOOD,
